Front,Back
What does OSI Layer 1 handle?,"Physical: bits, signaling, cabling"
What does OSI Layer 2 handle?,"Data Link: frames, MAC addressing, switches"
What does OSI Layer 3 handle?,"Network: packets, IP addressing, routing"
What does OSI Layer 4 handle?,"Transport: TCP/UDP, segmentation, flow control"
What does OSI Layer 5 handle?,"Session: dialogs, connections"
What does OSI Layer 6 handle?,"Presentation: data format, encryption, compression"
What does OSI Layer 7 handle?,"Application: HTTP, DNS, SMTP"
What is the PDU at Layer 2?,Frame
What is the PDU at Layer 3?,Packet
What is the PDU at Layer 4?,Segment (TCP)/Datagram (UDP)
Which service uses TCP 20/21?,FTP
Which service uses TCP 22?,SSH/SFTP/SCP
Which service uses TCP 23?,Telnet
Which service uses TCP 25?,SMTP
Which service uses UDP/TCP 53?,DNS
Which service uses UDP 67/68?,DHCPv4
Which service uses TCP 80?,HTTP
Which service uses TCP 110?,POP3
Which service uses TCP 143?,IMAP
Which service uses TCP 443?,HTTPS
Which service uses TCP 445?,SMB/CIFS
Which service uses TCP 3389?,RDP
Which service uses UDP 161/162?,SNMP
Which service uses TCP 389?,LDAP
Which service uses UDP 123?,NTP
How many usable hosts in /30?,2
What is the subnet mask for /30?,255.255.255.252
How many usable hosts in /29?,6
What is the subnet mask for /29?,255.255.255.248
How many usable hosts in /28?,14
What is the subnet mask for /28?,255.255.255.240
How many usable hosts in /27?,30
What is the subnet mask for /27?,255.255.255.224
How many usable hosts in /26?,62
What is the subnet mask for /26?,255.255.255.192
What is APIPA range?,169.254.0.0/16
What is IPv4 loopback address?,127.0.0.1
What are private IPv4 ranges?,"10/8, 172.16/12, 192.168/16"
What is IPv6 loopback?,::1
What is IPv6 unspecified address?,::
What is IPv6 link-local prefix?,fe80::/10
What is IPv6 global unicast prefix?,2000::/3
What replaces ARP in IPv6?,NDP
What is SLAAC?,Stateless Address Autoconfiguration
What is IPv6 all-nodes multicast?,ff02::1
What is IPv6 all-routers multicast?,ff02::2
What is default IPv4 route?,0.0.0.0/0
What is default IPv6 route?,::/0
What metric does RIP use?,Hop count
What type of protocol is OSPF?,Link-state
What type of protocol is BGP?,Path-vector
What is AD of static route?,1
What is route redistribution?,Injecting routes between protocols
What is ECMP?,Equal-Cost Multi-Path routing
What is a VLAN?,Logical segmentation into broadcast domains
What is a trunk port?,Carries multiple VLANs via 802.1Q tags
What is native VLAN?,"Untagged VLAN, default VLAN 1"
What is STP used for?,Preventing Layer 2 loops
What is a root bridge?,Central STP switch
What is port security?,Limits MACs on a port
What is BPDU guard?,Disables port if BPDUs received
What is EtherChannel?,Bundling links for redundancy/bandwidth
What is LACP?,Link Aggregation Control Protocol
What is a broadcast domain?,All devices receiving broadcasts in Layer 2
Key traits of 802.11a?,"5 GHz, 54 Mbps"
Key traits of 802.11b?,"2.4 GHz, 11 Mbps"
Key traits of 802.11g?,"2.4 GHz, 54 Mbps"
Key traits of 802.11n?,"2.4/5 GHz, MIMO, 600 Mbps"
Key traits of 802.11ac?,"5 GHz, MU-MIMO, gigabit+"
Key traits of 802.11ax?,"Wi-Fi 6, OFDMA, 2.4/5/6 GHz"
Which 2.4 GHz channels don’t overlap in US?,"1, 6, 11"
What is WPA3?,Latest Wi-Fi security with SAE
What is rogue AP?,Unauthorized access point
What is site survey?,"Assess coverage, interference, placement"
DNS record A?,IPv4 host
DNS record AAAA?,IPv6 host
DNS record MX?,Mail exchange
DNS record CNAME?,Alias
DHCPv4 steps acronym?,DORA
What is NTP for?,Time sync
What is AAA?,"Authentication, Authorization, Accounting"
What is RADIUS?,AAA protocol UDP 1812/1813
What is TACACS+?,AAA protocol TCP 49
What is least privilege?,Grant only required access
What is stateful firewall?,"Tracks sessions, allows return traffic"
What is IDS?,Intrusion Detection System
What is IPS?,Intrusion Prevention System
What is VPN?,Encrypted tunnel
What is IPsec ESP?,Encryption+authentication
What is hashing used for?,Integrity verification
Cat5e capability?,"1 Gbps, 100m"
Cat6 capability?,"1 Gbps 100m, 10G 55m"
Cat6a capability?,10 Gbps 100m
Single-mode fiber?,"Long distance, laser"
Multimode fiber?,"Short distance, LED/VCSEL"
LC connector?,Small form-factor
SC connector?,Square push-pull
What is PoE?,Power over Ethernet
What does ping test?,Connectivity via ICMP
What does traceroute show?,Path to destination
Which service uses TCP 587?,SMTP submission
Which service uses TCP 993?,IMAP over SSL
Which service uses TCP 995?,POP3 over SSL
Which service uses TCP 636?,LDAPS
Which service uses TCP 989/990?,FTPS
Which service uses TCP 1720?,H.323
Which service uses TCP 179?,BGP
Which service uses UDP 1812/1813?,RADIUS
Which service uses TCP 49?,TACACS+
Which service uses UDP 514?,Syslog
Which service uses UDP 69?,TFTP
Which service uses UDP 500?,IPsec/IKE
Which service uses UDP 4500?,IPsec NAT-T
Which service uses UDP 1194?,OpenVPN
Which service uses TCP 2049?,NFS
How many usable hosts in /24?,254
What is the subnet mask for /24?,255.255.255.0
How many usable hosts in /23?,510
What is the subnet mask for /23?,255.255.254.0
How many usable hosts in /22?,1022
What is the subnet mask for /22?,255.255.252.0
How many usable hosts in /21?,2046
What is the subnet mask for /21?,255.255.248.0
How many usable hosts in /20?,4094
What is the subnet mask for /20?,255.255.240.0
What is IPv6 ULA prefix?,fc00::/7
What is IPv6 global routing prefix?,2000::/3
What is IPv6 anycast?,"Same address assigned to multiple nodes, routed to nearest"
What is IPv6 multicast for DHCP?,ff02::1:2
What is IPv6 duplicate address detection?,Process ensuring uniqueness
What is IPv6 NDP used for?,Neighbor Discovery Protocol for ARP replacement
What is OSPFv3?,OSPF for IPv6
What is NAT64?,Translate IPv6 to IPv4
What is split horizon?,Prevents loops by not advertising back on same interface
What is poison reverse?,Route advertised as unreachable to avoid loops
What is BGP transport protocol?,TCP 179
What is an ASN?,Autonomous System Number
What is EIGRP?,Advanced distance-vector protocol (Cisco)
What is redistribution?,Sharing routes between protocols
What is route summarization?,Aggregating routes into supernets
What is default administrative distance of OSPF?,110
What is default administrative distance of RIP?,120
What is default administrative distance of EIGRP internal?,90
What is RSTP?,"Rapid STP, faster convergence"
What is MSTP?,"Multiple STP, 802.1s"
What are STP port roles?,"Root, Designated, Alternate"
What are classic STP port states?,"Blocking, Listening, Learning, Forwarding, Disabled"
What are RSTP port states?,"Discarding, Learning, Forwarding"
What is Root Guard?,Prevents a port from becoming root port
What is Loop Guard?,Prevents alternate port from forwarding if BPDUs stop
What is BPDU Filter?,Ignores BPDUs on a port
What is VTP?,VLAN Trunking Protocol (Cisco)
What is storm control?,Limits broadcast/multicast traffic
What is 802.11r?,Fast roaming
What is 802.11k?,Neighbor reports
What is 802.11v?,Network-assisted roaming
What is MU-MIMO?,Multiple users served simultaneously
What is beamforming?,Directing RF signal towards client
What is band steering?,Encouraging 5 GHz/6 GHz use
What is WPA2?,Wi-Fi Protected Access 2
What is WEP flaw?,"Weak RC4 encryption, insecure"
What is EAP-TLS?,Certificate-based authentication
What is PEAP?,Protected EAP with TLS tunnel
DNS record PTR?,Reverse lookup
DNS record SOA?,Start of Authority
DNS record SRV?,Service location
What is DHCP reservation?,Specific IP tied to MAC
What is DHCP relay?,Forward DHCP across subnets
What is NTP stratum 1?,Primary time source
What is LDAP used for?,Directory services
What is NGFW?,Next-Generation Firewall
What is WAF?,Web Application Firewall
What is UTM?,Unified Threat Management device
What is DLP?,Data Loss Prevention
What is SIEM?,Security Information and Event Management
What is SOAR?,"Security Orchestration, Automation, Response"
What is EDR?,Endpoint Detection and Response
What is VPN split tunneling?,Only some traffic over VPN
What is IPsec AH?,"Authentication Header, no encryption"
What is SSL/TLS VPN?,VPN using TLS
What is plenum-rated cable?,"Low smoke, fire resistant"
What is riser-rated cable?,Vertical runs between floors
What is bend radius?,Minimum safe cable curve
What is NEXT?,Near-End Crosstalk
What is FEXT?,Far-End Crosstalk
What is ACR?,Attenuation to Crosstalk Ratio
What is MPO/MTP?,Multi-fiber connector
What is QSFP?,Quad Small Form-Factor Pluggable
What is DAC cable?,Direct-Attach Copper
What is OTDR?,Optical Time-Domain Reflectometer
What does arp -a show?,ARP table
What does netstat show?,Active connections
What does nslookup/dig do?,DNS queries
What is iperf used for?,Measure throughput
What is mtr/pathping?,Trace path with stats
What is cable tester?,Verify wiring
What is tone generator?,Trace cables
What is loopback plug?,Test NICs/ports
What is ethtool?,Linux NIC settings
What is escalation?,Hand off to higher support tier
